Executor;ID;Expression;Time
BParser AVX2;0;-v1;0.140653
BParser AVX2;1;v1 + v2;0.167515
BParser AVX2;2;v1 - v2;0.167382
BParser AVX2;3;v1 * v2;0.167461
BParser AVX2;4;v1 / v2;0.211386
BParser AVX2;5;v1 % v2;0.54369
BParser AVX2;6;(v1 == v2);0.284072
BParser AVX2;7;v1 != v2;0.283031
BParser AVX2;8;v1 < v2;0.288075
BParser AVX2;9;v1 <= v2;0.283791
BParser AVX2;10;v1 > v2;0.283257
BParser AVX2;11;v1 >= v2;0.283538
BParser AVX2;12;not (v1 == v2);0.376807
BParser AVX2;13;v1 or v2;0.167677
BParser AVX2;14;v1 and v2;0.167852
BParser AVX2;15;abs(v1);0.118498
BParser AVX2;16;sqrt(v1);0.308889
BParser AVX2;17;exp(v1);2.97257
BParser AVX2;18;log(v1);3.01113
BParser AVX2;19;log10(v1);3.0144
BParser AVX2;20;sin(v1);2.01039
BParser AVX2;21;sinh(v1);3.74838
BParser AVX2;22;asin(v1);1.61553
BParser AVX2;23;cos(v1);2.02744
BParser AVX2;24;cosh(v1);3.34618
BParser AVX2;25;acos(v1);1.79694
BParser AVX2;26;tan(v1);1.87401
BParser AVX2;27;tanh(v1);4.04285
BParser AVX2;28;atan(v1);1.63249
BParser AVX2;29;ceil(v1);0.227099
BParser AVX2;30;floor(v1);0.221881
BParser AVX2;31;isnan(v1);0.117825
BParser AVX2;32;isinf(v1);0.184412
BParser AVX2;33;sgn(v1);0.207692
BParser AVX2;34;atan2(v1, v2);3.01196
BParser AVX2;35;v1 ** v2;7.85695
BParser AVX2;36;maximum(v1, v2);0.167614
BParser AVX2;37;minimum(v1, v2);0.167976
BParser AVX2;38;v3 if v1 == v2 else v4;0.484894
BParser AVX2;39;cv1 + v1 + v2 - v3;0.436787
BParser AVX2;40;cs1 - v1 + v2 * v3;0.436683
BParser AVX2;41;cs1 * v1 / v2;0.345392
BParser AVX2;42;cv1 / v1 * v2 / v3;0.566356
BParser AVX2;43;v1 + v2 + v3 + v4;0.436841
BParser AVX2;44;3 * v1 + cs1 * v2 + v3 + 2.5 * v4;0.856934
BParser AVX512;0;-v1;0.0995136
BParser AVX512;1;v1 + v2;0.126795
BParser AVX512;2;v1 - v2;0.126673
BParser AVX512;3;v1 * v2;0.126704
BParser AVX512;4;v1 / v2;0.206679
BParser AVX512;5;v1 % v2;0.514298
BParser AVX512;6;(v1 == v2);0.254385
BParser AVX512;7;v1 != v2;0.25496
BParser AVX512;8;v1 < v2;0.254757
BParser AVX512;9;v1 <= v2;0.25571
BParser AVX512;10;v1 > v2;0.255215
BParser AVX512;11;v1 >= v2;0.25304
BParser AVX512;12;not (v1 == v2);0.332659
BParser AVX512;13;v1 or v2;0.125859
BParser AVX512;14;v1 and v2;0.12642
BParser AVX512;15;abs(v1);0.0945141
BParser AVX512;16;sqrt(v1);0.308718
BParser AVX512;17;exp(v1);2.15451
BParser AVX512;18;log(v1);2.1403
BParser AVX512;19;log10(v1);2.14481
