Executor;ID;Expression;Time
BParser AVX2;0;-v1;0.01403635
BParser AVX2;1;v1 + v2;0.01650235
BParser AVX2;2;v1 - v2;0.01649735
BParser AVX2;3;v1 * v2;0.01646455
BParser AVX2;4;v1 / v2;0.02100815
BParser AVX2;5;v1 % v2;0.0549545
BParser AVX2;6;(v1 == v2);0.02771895
BParser AVX2;7;v1 != v2;0.027803349999999998
BParser AVX2;8;v1 < v2;0.0277571
BParser AVX2;9;v1 <= v2;0.027683899999999997
BParser AVX2;10;v1 > v2;0.0277493
BParser AVX2;11;v1 >= v2;0.027763200000000002
BParser AVX2;12;not (v1 == v2);0.037375900000000004
BParser AVX2;13;v1 or v2;0.016620000000000003
BParser AVX2;14;v1 and v2;0.0165562
BParser AVX2;15;abs(v1);0.0113934
BParser AVX2;16;sqrt(v1);0.0308223
BParser AVX2;17;exp(v1);0.297465
BParser AVX2;18;log(v1);0.301134
BParser AVX2;19;log10(v1);0.301099
BParser AVX2;20;sin(v1);0.20071850000000002
BParser AVX2;21;sinh(v1);0.3744235
BParser AVX2;22;asin(v1);0.16179749999999998
BParser AVX2;23;cos(v1);0.20310099999999998
BParser AVX2;24;cosh(v1);0.33413950000000003
BParser AVX2;25;acos(v1);0.18088749999999998
BParser AVX2;26;tan(v1);0.1873135
BParser AVX2;27;tanh(v1);0.404251
BParser AVX2;28;atan(v1);0.16336499999999998
BParser AVX2;29;ceil(v1);0.022676300000000003
BParser AVX2;30;floor(v1);0.022200749999999998
BParser AVX2;31;isnan(v1);0.0112722
BParser AVX2;32;isinf(v1);0.0181695
BParser AVX2;33;sgn(v1);0.02072135
BParser AVX2;34;atan2(v1, v2);0.303224
BParser AVX2;35;v1 ** v2;0.788103
BParser AVX2;36;maximum(v1, v2);0.0166083
BParser AVX2;37;minimum(v1, v2);0.0166062
BParser AVX2;38;v3 if v1 == v2 else v4;0.0483293
BParser AVX2;39;cv1 + v1 + v2 - v3;0.043500399999999995
BParser AVX2;40;cs1 - v1 + v2 * v3;0.04344395
BParser AVX2;41;cs1 * v1 / v2;0.034345150000000005
BParser AVX2;42;cv1 / v1 * v2 / v3;0.05632855
BParser AVX2;43;v1 + v2 + v3 + v4;0.0440392
BParser AVX2;44;3 * v1 + cs1 * v2 + v3 + 2.5 * v4;0.0860152
BParser AVX512;0;-v1;0.009899729999999999
BParser AVX512;1;v1 + v2;0.01530505
BParser AVX512;2;v1 - v2;0.01279985
BParser AVX512;3;v1 * v2;0.012675249999999999
BParser AVX512;4;v1 / v2;0.02066905
BParser AVX512;5;v1 % v2;0.051563849999999994
BParser AVX512;6;(v1 == v2);0.02535145
BParser AVX512;7;v1 != v2;0.02541415
BParser AVX512;8;v1 < v2;0.0253448
BParser AVX512;9;v1 <= v2;0.0252715
BParser AVX512;10;v1 > v2;0.025358850000000002
BParser AVX512;11;v1 >= v2;0.02533705
BParser AVX512;12;not (v1 == v2);0.03332495
BParser AVX512;13;v1 or v2;0.01265735
BParser AVX512;14;v1 and v2;0.0126241
BParser AVX512;15;abs(v1);0.009435349999999999
BParser AVX512;16;sqrt(v1);0.030829299999999997
BParser AVX512;17;exp(v1);0.214869
BParser AVX512;18;log(v1);0.21342499999999998
BParser AVX512;19;log10(v1);0.214609
BParser AVX512;20;sin(v1);0.187382
BParser AVX512;21;sinh(v1);0.26021649999999996
BParser AVX512;22;asin(v1);0.2085365
BParser AVX512;23;cos(v1);0.22976999999999997
BParser AVX512;24;cosh(v1);0.224526
BParser AVX512;25;acos(v1);0.226136
BParser AVX512;26;tan(v1);0.21434199999999998
BParser AVX512;27;tanh(v1);0.2901245
BParser AVX512;28;atan(v1);0.1649705
BParser AVX512;29;ceil(v1);0.021359049999999997
BParser AVX512;30;floor(v1);0.0216673
BParser AVX512;31;isnan(v1);0.009458620000000001
BParser AVX512;32;isinf(v1);0.018381349999999998
BParser AVX512;33;sgn(v1);0.0197536
BParser AVX512;34;atan2(v1, v2);0.319068
BParser AVX512;35;v1 ** v2;0.765463
BParser AVX512;36;maximum(v1, v2);0.01260975
BParser AVX512;37;minimum(v1, v2);0.012624449999999999
BParser AVX512;38;v3 if v1 == v2 else v4;0.0444976
BParser AVX512;39;cv1 + v1 + v2 - v3;0.03895465
BParser AVX512;40;cs1 - v1 + v2 * v3;0.0392402
BParser AVX512;41;cs1 * v1 / v2;0.03290535
BParser AVX512;42;cv1 / v1 * v2 / v3;0.05361275
BParser AVX512;43;v1 + v2 + v3 + v4;0.039090650000000005
BParser AVX512;44;3 * v1 + cs1 * v2 + v3 + 2.5 * v4;0.07285685
BParser SSE;0;-v1;0.014976050000000001
BParser SSE;1;v1 + v2;0.0205336
BParser SSE;2;v1 - v2;0.0205935
BParser SSE;3;v1 * v2;0.0206446
BParser SSE;4;v1 / v2;0.02232675
BParser SSE;5;v1 % v2;0.0536064
BParser SSE;6;(v1 == v2);0.0397057
BParser SSE;7;v1 != v2;0.03983685
BParser SSE;8;v1 < v2;0.039739250000000004
BParser SSE;9;v1 <= v2;0.039681549999999996
BParser SSE;10;v1 > v2;0.039767449999999996
BParser SSE;11;v1 >= v2;0.0398548
BParser SSE;12;not (v1 == v2);0.05467025
BParser SSE;13;v1 or v2;0.0206411
BParser SSE;14;v1 and v2;0.0206562
BParser SSE;15;abs(v1);0.01513975
BParser SSE;16;sqrt(v1);0.0309846
BParser SSE;17;exp(v1);0.1897505
BParser SSE;18;log(v1);0.17802849999999998
BParser SSE;19;log10(v1);0.17952849999999998
BParser SSE;20;sin(v1);0.267671
BParser SSE;21;sinh(v1);0.240332
BParser SSE;22;asin(v1);0.1566785
BParser SSE;23;cos(v1);0.270623
BParser SSE;24;cosh(v1);0.2203455
BParser SSE;25;acos(v1);0.1736105
BParser SSE;26;tan(v1);0.237917
BParser SSE;27;tanh(v1);0.2813965
BParser SSE;28;atan(v1);0.1741415
BParser SSE;29;ceil(v1);0.0237304
BParser SSE;30;floor(v1);0.022970949999999997
BParser SSE;31;isnan(v1);0.01559265
BParser SSE;32;isinf(v1);0.0186059
BParser SSE;33;sgn(v1);0.02761065
BParser SSE;34;atan2(v1, v2);0.330438
BParser SSE;35;v1 ** v2;0.9674375
BParser SSE;36;maximum(v1, v2);0.02054895
BParser SSE;37;minimum(v1, v2);0.02041205
BParser SSE;38;v3 if v1 == v2 else v4;0.0656865
BParser SSE;39;cv1 + v1 + v2 - v3;0.06233755
BParser SSE;40;cs1 - v1 + v2 * v3;0.0600923
BParser SSE;41;cs1 * v1 / v2;0.041964100000000004
BParser SSE;42;cv1 / v1 * v2 / v3;0.06680530000000001
BParser SSE;43;v1 + v2 + v3 + v4;0.06041
BParser SSE;44;3 * v1 + cs1 * v2 + v3 + 2.5 * v4;0.1218905
BParser no vectorization;0;-v1;0.022687350000000002
BParser no vectorization;1;v1 + v2;0.0334527
BParser no vectorization;2;v1 - v2;0.033109650000000004
BParser no vectorization;3;v1 * v2;0.0329122
BParser no vectorization;4;v1 / v2;0.04218785
BParser no vectorization;5;v1 % v2;0.17700749999999998
BParser no vectorization;6;(v1 == v2);0.0653889
BParser no vectorization;7;v1 != v2;0.07046345000000001
BParser no vectorization;8;v1 < v2;0.07543635
BParser no vectorization;9;v1 <= v2;0.06268045
BParser no vectorization;10;v1 > v2;0.08536465
BParser no vectorization;11;v1 >= v2;0.06500895000000001
BParser no vectorization;12;not (v1 == v2);0.09070234999999999
BParser no vectorization;13;v1 or v2;0.0331231
BParser no vectorization;14;v1 and v2;0.0330801
BParser no vectorization;15;abs(v1);0.02298735
BParser no vectorization;16;sqrt(v1);0.0617858
BParser no vectorization;17;exp(v1);0.248425
BParser no vectorization;18;log(v1);0.201891
