Executor;ID;Expression;Time
BParser AVX2;0;-v1;0.140471
BParser AVX2;1;v1 + v2;0.164605
BParser AVX2;2;v1 - v2;0.164565
BParser AVX2;3;v1 * v2;0.164694
BParser AVX2;4;v1 / v2;0.212962
BParser AVX2;5;v1 % v2;0.554449
BParser AVX2;6;(v1 == v2);0.277207
BParser AVX2;7;v1 != v2;0.276544
BParser AVX2;8;v1 < v2;0.276563
BParser AVX2;9;v1 <= v2;0.276751
BParser AVX2;10;v1 > v2;0.276625
BParser AVX2;11;v1 >= v2;0.276987
BParser AVX2;12;not (v1 == v2);0.379735
BParser AVX2;13;v1 or v2;0.165715
BParser AVX2;14;v1 and v2;0.165839
BParser AVX2;15;abs(v1);0.113706
BParser AVX2;16;sqrt(v1);0.308943
BParser AVX2;17;exp(v1);3.0108
BParser AVX2;18;log(v1);3.01413
BParser AVX2;19;log10(v1);3.01026
BParser AVX2;20;sin(v1);2.00568
BParser AVX2;21;sinh(v1);3.75007
BParser AVX2;22;asin(v1);1.63123
BParser AVX2;23;cos(v1);2.0306
BParser AVX2;24;cosh(v1);3.35412
BParser AVX2;25;acos(v1);1.81366
BParser AVX2;26;tan(v1);1.88249
BParser AVX2;27;tanh(v1);4.05276
BParser AVX2;28;atan(v1);1.63548
BParser AVX2;29;ceil(v1);0.231782
BParser AVX2;30;floor(v1);0.221344
BParser AVX2;31;isnan(v1);0.113316
BParser AVX2;32;isinf(v1);0.182074
BParser AVX2;33;sgn(v1);0.205977
BParser AVX2;34;atan2(v1, v2);3.12238
BParser AVX2;35;v1 ** v2;7.9067
BParser AVX2;36;maximum(v1, v2);0.164965
BParser AVX2;37;minimum(v1, v2);0.165353
BParser AVX2;38;v3 if v1 == v2 else v4;0.484423
BParser AVX2;39;cv1 + v1 + v2 - v3;0.43722
BParser AVX2;40;cs1 - v1 + v2 * v3;0.436519
BParser AVX2;41;cs1 * v1 / v2;0.344611
BParser AVX2;42;cv1 / v1 * v2 / v3;0.576796
BParser AVX2;43;v1 + v2 + v3 + v4;0.444533
BParser AVX2;44;3 * v1 + cs1 * v2 + v3 + 2.5 * v4;0.845697
BParser AVX512;0;-v1;0.100209
BParser AVX512;1;v1 + v2;0.129586
BParser AVX512;2;v1 - v2;0.126641
BParser AVX512;3;v1 * v2;0.12695
BParser AVX512;4;v1 / v2;0.206216
BParser AVX512;5;v1 % v2;0.514379
BParser AVX512;6;(v1 == v2);0.256241
BParser AVX512;7;v1 != v2;0.255728
BParser AVX512;8;v1 < v2;0.255022
BParser AVX512;9;v1 <= v2;0.253504
BParser AVX512;10;v1 > v2;0.255065
BParser AVX512;11;v1 >= v2;0.253551
BParser AVX512;12;not (v1 == v2);0.333534
BParser AVX512;13;v1 or v2;0.127073
BParser AVX512;14;v1 and v2;0.126415
BParser AVX512;15;abs(v1);0.0945035
BParser AVX512;16;sqrt(v1);0.30878
BParser AVX512;17;exp(v1);2.15003
BParser AVX512;18;log(v1);2.14133
BParser AVX512;19;log10(v1);2.15235
BParser AVX512;20;sin(v1);1.89019
BParser AVX512;21;sinh(v1);2.6304
BParser AVX512;22;asin(v1);2.0837
BParser AVX512;23;cos(v1);2.34569
BParser AVX512;24;cosh(v1);2.24432
BParser AVX512;25;acos(v1);2.27098
BParser AVX512;26;tan(v1);2.16098
BParser AVX512;27;tanh(v1);2.89626
BParser AVX512;28;atan(v1);1.66116
BParser AVX512;29;ceil(v1);0.213757
BParser AVX512;30;floor(v1);0.216892
BParser AVX512;31;isnan(v1);0.0946043
BParser AVX512;32;isinf(v1);0.183994
BParser AVX512;33;sgn(v1);0.197861
BParser AVX512;34;atan2(v1, v2);3.20461
BParser AVX512;35;v1 ** v2;7.67123
BParser AVX512;36;maximum(v1, v2);0.126353
BParser AVX512;37;minimum(v1, v2);0.126355
BParser AVX512;38;v3 if v1 == v2 else v4;0.44484
BParser AVX512;39;cv1 + v1 + v2 - v3;0.390352
BParser AVX512;40;cs1 - v1 + v2 * v3;0.392653
BParser AVX512;41;cs1 * v1 / v2;0.329058
BParser AVX512;42;cv1 / v1 * v2 / v3;0.538546
BParser AVX512;43;v1 + v2 + v3 + v4;0.388979
BParser AVX512;44;3 * v1 + cs1 * v2 + v3 + 2.5 * v4;0.729897
BParser SSE;0;-v1;0.149785
BParser SSE;1;v1 + v2;0.204672
BParser SSE;2;v1 - v2;0.210412
BParser SSE;3;v1 * v2;0.206578
BParser SSE;4;v1 / v2;0.22722
BParser SSE;5;v1 % v2;0.540082
BParser SSE;6;(v1 == v2);0.397967
BParser SSE;7;v1 != v2;0.397591
BParser SSE;8;v1 < v2;0.399385
BParser SSE;9;v1 <= v2;0.3972
BParser SSE;10;v1 > v2;0.397445
BParser SSE;11;v1 >= v2;0.400404
BParser SSE;12;not (v1 == v2);0.546088
BParser SSE;13;v1 or v2;0.205339
BParser SSE;14;v1 and v2;0.205208
BParser SSE;15;abs(v1);0.151609
BParser SSE;16;sqrt(v1);0.310132
BParser SSE;17;exp(v1);1.89566
BParser SSE;18;log(v1);1.80021
BParser SSE;19;log10(v1);1.83204
BParser SSE;20;sin(v1);2.70816
BParser SSE;21;sinh(v1);2.40431
BParser SSE;22;asin(v1);1.56959
BParser SSE;23;cos(v1);2.71587
BParser SSE;24;cosh(v1);2.20677
BParser SSE;25;acos(v1);1.74225
BParser SSE;26;tan(v1);2.39628
BParser SSE;27;tanh(v1);2.82234
BParser SSE;28;atan(v1);1.77277
BParser SSE;29;ceil(v1);0.236805
BParser SSE;30;floor(v1);0.226964
BParser SSE;31;isnan(v1);0.154569
BParser SSE;32;isinf(v1);0.185736
BParser SSE;33;sgn(v1);0.275622
BParser SSE;34;atan2(v1, v2);3.29795
BParser SSE;35;v1 ** v2;9.67654
BParser SSE;36;maximum(v1, v2);0.204788
BParser SSE;37;minimum(v1, v2);0.204255
BParser SSE;38;v3 if v1 == v2 else v4;0.657585
BParser SSE;39;cv1 + v1 + v2 - v3;0.62488
BParser SSE;40;cs1 - v1 + v2 * v3;0.604783
BParser SSE;41;cs1 * v1 / v2;0.420649
BParser SSE;42;cv1 / v1 * v2 / v3;0.667932
BParser SSE;43;v1 + v2 + v3 + v4;0.60597
BParser SSE;44;3 * v1 + cs1 * v2 + v3 + 2.5 * v4;1.22027
BParser no vectorization;0;-v1;0.229689
BParser no vectorization;1;v1 + v2;0.33611
BParser no vectorization;2;v1 - v2;0.331761
BParser no vectorization;3;v1 * v2;0.329928
BParser no vectorization;4;v1 / v2;0.424333
BParser no vectorization;5;v1 % v2;1.81235
BParser no vectorization;6;(v1 == v2);0.656539
BParser no vectorization;7;v1 != v2;0.708365
BParser no vectorization;8;v1 < v2;0.757216
BParser no vectorization;9;v1 <= v2;0.638976
BParser no vectorization;10;v1 > v2;0.862687
BParser no vectorization;11;v1 >= v2;0.654185
BParser no vectorization;12;not (v1 == v2);0.923539
BParser no vectorization;13;v1 or v2;0.33695
BParser no vectorization;14;v1 and v2;0.336268
BParser no vectorization;15;abs(v1);0.230217
BParser no vectorization;16;sqrt(v1);0.618371
BParser no vectorization;17;exp(v1);2.48049
BParser no vectorization;18;log(v1);2.03992
BParser no vectorization;19;log10(v1);3.84375
BParser no vectorization;20;sin(v1);4.38453
BParser no vectorization;21;sinh(v1);3.14085
BParser no vectorization;22;asin(v1);2.3334
BParser no vectorization;23;cos(v1);4.4281
BParser no vectorization;24;cosh(v1);2.78746
BParser no vectorization;25;acos(v1);2.38097
BParser no vectorization;26;tan(v1);9.99811
BParser no vectorization;27;tanh(v1);1.16592
BParser no vectorization;28;atan(v1);3.90788
BParser no vectorization;29;ceil(v1);0.651578
BParser no vectorization;30;floor(v1);0.650999
BParser no vectorization;31;isnan(v1);0.257508
BParser no vectorization;32;isinf(v1);0.323172
BParser no vectorization;33;sgn(v1);0.32714
BParser no vectorization;34;atan2(v1, v2);8.02459
BParser no vectorization;35;v1 ** v2;5.04861
BParser no vectorization;36;maximum(v1, v2);0.428453
BParser no vectorization;37;minimum(v1, v2);0.330733
BParser no vectorization;38;v3 if v1 == v2 else v4;1.06066
BParser no vectorization;39;cv1 + v1 + v2 - v3;1.0091
BParser no vectorization;40;cs1 - v1 + v2 * v3;0.986705
BParser no vectorization;41;cs1 * v1 / v2;0.750495
BParser no vectorization;42;cv1 / v1 * v2 / v3;1.18744
BParser no vectorization;43;v1 + v2 + v3 + v4;0.988045
BParser no vectorization;44;3 * v1 + cs1 * v2 + v3 + 2.5 * v4;1.98147
BParser_OLD;0;-v1;0.16146
BParser_OLD;1;v1 + v2;0.226999
BParser_OLD;2;v1 - v2;0.222897
BParser_OLD;3;v1 * v2;0.222915
BParser_OLD;4;v1 / v2;0.412996
BParser_OLD;5;v1 % v2;1.72755
BParser_OLD;6;(v1 == v2);0.683938
BParser_OLD;7;v1 != v2;0.631658
BParser_OLD;8;v1 < v2;0.472001
BParser_OLD;9;v1 <= v2;0.46791
BParser_OLD;10;v1 > v2;0.472388
BParser_OLD;11;v1 >= v2;0.473789
BParser_OLD;12;not (v1 == v2);1.07586
BParser_OLD;13;v1 or v2;0.224095
BParser_OLD;14;v1 and v2;0.225341
BParser_OLD;15;abs(v1);0.162358
BParser_OLD;16;sqrt(v1);0.617551
BParser_OLD;17;exp(v1);2.59268
BParser_OLD;18;log(v1);1.95594
BParser_OLD;19;log10(v1);3.53527
BParser_OLD;20;sin(v1);4.22598
BParser_OLD;21;sinh(v1);2.94438
BParser_OLD;22;asin(v1);2.35355
BParser_OLD;23;cos(v1);4.2888
BParser_OLD;24;cosh(v1);2.69393
BParser_OLD;25;acos(v1);2.2886
BParser_OLD;26;tan(v1);9.09426
BParser_OLD;27;tanh(v1);1.0726
BParser_OLD;28;atan(v1);3.90514
BParser_OLD;29;ceil(v1);0.189069
BParser_OLD;30;floor(v1);0.191583
BParser_OLD;31;isnan(v1);0.203211
BParser_OLD;32;isinf(v1);0.271641
BParser_OLD;33;sgn(v1);0.253143
BParser_OLD;34;atan2(v1, v2);7.90863
BParser_OLD;35;v1 ** v2;4.8194
BParser_OLD;36;maximum(v1, v2);0.227121
BParser_OLD;37;minimum(v1, v2);0.226679
BParser_OLD;38;v3 if v1 == v2 else v4;0.983889
BParser_OLD;39;cv1 + v1 + v2 - v3;0.638125
BParser_OLD;40;cs1 - v1 + v2 * v3;0.636372
BParser_OLD;41;cs1 * v1 / v2;0.62431
BParser_OLD;42;cv1 / v1 * v2 / v3;1.03874
BParser_OLD;43;v1 + v2 + v3 + v4;0.644326
BParser_OLD;44;3 * v1 + cs1 * v2 + v3 + 2.5 * v4;1.29614
C++;0;-v1;0.228046
C++;1;v1 + v2;0.239492
C++;2;v1 - v2;0.247045
C++;3;v1 * v2;0.240067
C++;4;v1 / v2;0.412933
C++;5;v1 % v2;1.99031
C++;6;(v1 == v2);0.300159
C++;7;v1 != v2;0.349608
C++;8;v1 < v2;0.336581
C++;9;v1 <= v2;0.337046
C++;10;v1 > v2;0.440495
C++;11;v1 >= v2;0.440466
C++;12;not (v1 == v2);0.350213
C++;13;v1 or v2;0.59809
C++;14;v1 and v2;0.593642
C++;15;abs(v1);0.227647
C++;16;sqrt(v1);0.708341
C++;17;exp(v1);2.63851
C++;18;log(v1);2.067
C++;19;log10(v1);3.61735
C++;20;sin(v1);4.31231
C++;21;sinh(v1);3.14733
C++;22;asin(v1);2.37506
C++;23;cos(v1);4.32679
C++;24;cosh(v1);2.86478
C++;25;acos(v1);2.28833
C++;26;tan(v1);9.38875
C++;27;tanh(v1);1.17584
C++;28;atan(v1);3.82173
C++;29;ceil(v1);0.631346
C++;30;floor(v1);0.662325
C++;31;isnan(v1);0.323304
C++;32;isinf(v1);0.402089
C++;33;sgn(v1);0.270566
C++;34;atan2(v1, v2);8.25711
C++;35;v1 ** v2;5.0518
C++;36;maximum(v1, v2);0.348426
C++;37;minimum(v1, v2);0.270279
C++;38;v3 if v1 == v2 else v4;0.410129
C++;39;cv1 + v1 + v2 - v3;0.4124
C++;40;cs1 - v1 + v2 * v3;0.357782
C++;41;cs1 * v1 / v2;0.413893
C++;42;cv1 / v1 * v2 / v3;0.833196
C++;43;v1 + v2 + v3 + v4;0.40054
C++;44;3 * v1 + cs1 * v2 + v3 + 2.5 * v4;0.541231
