Executor;ID;Expression;Time
BParser AVX2;0;-v1;0.0136679
BParser AVX2;1;v1 + v2;0.01654025
BParser AVX2;2;v1 - v2;0.01640985
BParser AVX2;3;v1 * v2;0.01652195
BParser AVX2;4;v1 / v2;0.02178505
BParser AVX2;5;v1 % v2;0.02142585
BParser AVX2;6;(v1 == v2);0.0295394
BParser AVX2;7;v1 != v2;0.0299679
BParser AVX2;8;v1 < v2;0.02958995
BParser AVX2;9;v1 <= v2;0.029812949999999998
BParser AVX2;10;v1 > v2;0.029950749999999998
BParser AVX2;11;v1 >= v2;0.0297265
BParser AVX2;12;not (v1 == v2);0.04170625
BParser AVX2;13;v1 or v2;0.01660095
BParser AVX2;14;v1 and v2;0.01656805
BParser AVX2;15;abs(v1);0.011318100000000001
BParser AVX2;16;sqrt(v1);0.0310548
BParser AVX2;17;exp(v1);0.1251025
BParser AVX2;18;log(v1);0.137407
BParser AVX2;19;log10(v1);0.141815
BParser AVX2;20;sin(v1);0.2098255
BParser AVX2;21;sinh(v1);0.148566
BParser AVX2;22;asin(v1);0.06813654999999999
BParser AVX2;23;cos(v1);0.231342
BParser AVX2;24;cosh(v1);0.135378
BParser AVX2;25;acos(v1);0.0722946
BParser AVX2;26;tan(v1);0.162182
BParser AVX2;27;tanh(v1);0.1762785
BParser AVX2;28;atan(v1);0.08297784999999999
BParser AVX2;29;ceil(v1);0.01221775
BParser AVX2;30;floor(v1);0.012
BParser AVX2;31;isnan(v1);0.011548550000000001
BParser AVX2;32;isinf(v1);0.011508049999999999
BParser AVX2;33;sgn(v1);0.01511875
BParser AVX2;34;atan2(v1, v2);0.147424
BParser AVX2;35;v1 ** v2;0.5516220000000001
BParser AVX2;36;maximum(v1, v2);0.016766950000000003
BParser AVX2;37;minimum(v1, v2);0.0164547
BParser AVX2;38;v3 if v1 == v2 else v4;0.05078895
BParser AVX2;39;cv1 + v1 + v2 - v3;0.0469557
BParser AVX2;40;cs1 - v1 + v2 * v3;0.04597355
BParser AVX2;41;cs1 * v1 / v2;0.03631135
BParser AVX2;42;cv1 / v1 * v2 / v3;0.058210700000000004
BParser AVX2;43;v1 + v2 + v3 + v4;0.0465386
BParser AVX2;44;3 * v1 + cs1 * v2 + v3 + 2.5 * v4;0.09330279999999999
BParser AVX512;0;-v1;0.0070176449999999994
BParser AVX512;1;v1 + v2;0.00861667
BParser AVX512;2;v1 - v2;0.00822846
BParser AVX512;3;v1 * v2;0.008242975
BParser AVX512;4;v1 / v2;0.02139175
BParser AVX512;5;v1 % v2;0.021464450000000003
BParser AVX512;6;(v1 == v2);0.137948
BParser AVX512;7;v1 != v2;0.1382505
BParser AVX512;8;v1 < v2;0.1380595
BParser AVX512;9;v1 <= v2;0.1379895
BParser AVX512;10;v1 > v2;0.138096
BParser AVX512;11;v1 >= v2;0.1380065
BParser AVX512;12;not (v1 == v2);0.205164
BParser AVX512;13;v1 or v2;0.06829985
BParser AVX512;14;v1 and v2;0.06816425000000001
BParser AVX512;15;abs(v1);0.006401075
BParser AVX512;16;sqrt(v1);0.0320284
BParser AVX512;17;exp(v1);0.06949759999999999
BParser AVX512;18;log(v1);0.0833129
BParser AVX512;19;log10(v1);0.08642345
BParser AVX512;20;sin(v1);0.0755126
BParser AVX512;21;sinh(v1);0.09598794999999999
BParser AVX512;22;asin(v1);0.07399905
BParser AVX512;23;cos(v1);0.0802667
BParser AVX512;24;cosh(v1);0.08731639999999999
BParser AVX512;25;acos(v1);0.074778
BParser AVX512;26;tan(v1);0.07855219999999999
BParser AVX512;27;tanh(v1);0.0718074
BParser AVX512;28;atan(v1);0.0869427
BParser AVX512;29;ceil(v1);0.007813585
BParser AVX512;30;floor(v1);0.00773088
BParser AVX512;31;isnan(v1);0.06950434999999999
BParser AVX512;32;isinf(v1);0.06928115
BParser AVX512;33;sgn(v1);0.0064591100000000005
BParser AVX512;34;atan2(v1, v2);0.08450315
BParser AVX512;35;v1 ** v2;0.263378
BParser AVX512;36;maximum(v1, v2);0.007872569999999999
BParser AVX512;37;minimum(v1, v2);0.00786262
BParser AVX512;38;v3 if v1 == v2 else v4;0.146438
BParser AVX512;39;cv1 + v1 + v2 - v3;0.02452965
BParser AVX512;40;cs1 - v1 + v2 * v3;0.0246153
BParser AVX512;41;cs1 * v1 / v2;0.0287678
BParser AVX512;42;cv1 / v1 * v2 / v3;0.0504076
BParser AVX512;43;v1 + v2 + v3 + v4;0.02310955
BParser AVX512;44;3 * v1 + cs1 * v2 + v3 + 2.5 * v4;0.0437501
BParser SSE;0;-v1;0.015480049999999999
BParser SSE;1;v1 + v2;0.0207374
BParser SSE;2;v1 - v2;0.0211304
BParser SSE;3;v1 * v2;0.02181885
BParser SSE;4;v1 / v2;0.0224773
BParser SSE;5;v1 % v2;0.0250574
BParser SSE;6;(v1 == v2);0.04029465
BParser SSE;7;v1 != v2;0.0408228
BParser SSE;8;v1 < v2;0.04070025
BParser SSE;9;v1 <= v2;0.0401768
BParser SSE;10;v1 > v2;0.04032925
BParser SSE;11;v1 >= v2;0.040004300000000007
BParser SSE;12;not (v1 == v2);0.058756749999999996
BParser SSE;13;v1 or v2;0.0206912
BParser SSE;14;v1 and v2;0.02146815
BParser SSE;15;abs(v1);0.0159833
BParser SSE;16;sqrt(v1);0.0313444
BParser SSE;17;exp(v1);0.2402695
BParser SSE;18;log(v1);0.22553
BParser SSE;19;log10(v1);0.246985
BParser SSE;20;sin(v1);0.206958
BParser SSE;21;sinh(v1);0.27471100000000004
BParser SSE;22;asin(v1);0.10668449999999999
BParser SSE;23;cos(v1);0.21371099999999998
BParser SSE;24;cosh(v1);0.270226
BParser SSE;25;acos(v1);0.11529700000000001
BParser SSE;26;tan(v1);0.17794349999999998
BParser SSE;27;tanh(v1);0.314948
BParser SSE;28;atan(v1);0.143111
BParser SSE;29;ceil(v1);0.0159858
BParser SSE;30;floor(v1);0.0159318
BParser SSE;31;isnan(v1);0.0153636
BParser SSE;32;isinf(v1);0.0156233
BParser SSE;33;sgn(v1);0.02297395
BParser SSE;34;atan2(v1, v2);0.262768
BParser SSE;35;v1 ** v2;0.7438675
BParser SSE;36;maximum(v1, v2);0.0207986
BParser SSE;37;minimum(v1, v2);0.021030100000000003
BParser SSE;38;v3 if v1 == v2 else v4;0.06715625
BParser SSE;39;cv1 + v1 + v2 - v3;0.06116745
BParser SSE;40;cs1 - v1 + v2 * v3;0.0618397
BParser SSE;41;cs1 * v1 / v2;0.0437709
BParser SSE;42;cv1 / v1 * v2 / v3;0.06616530000000001
BParser SSE;43;v1 + v2 + v3 + v4;0.060399999999999995
BParser SSE;44;3 * v1 + cs1 * v2 + v3 + 2.5 * v4;0.121438
BParser no vectorization;0;-v1;0.023026249999999998
BParser no vectorization;1;v1 + v2;0.0339237
BParser no vectorization;2;v1 - v2;0.033826300000000004
BParser no vectorization;3;v1 * v2;0.034112649999999994
BParser no vectorization;4;v1 / v2;0.043035500000000004
BParser no vectorization;5;v1 % v2;0.19034600000000002
BParser no vectorization;6;(v1 == v2);0.08704719999999999
BParser no vectorization;7;v1 != v2;0.07311275
BParser no vectorization;8;v1 < v2;0.06496299999999999
BParser no vectorization;9;v1 <= v2;0.07636355
BParser no vectorization;10;v1 > v2;0.07663634999999999
BParser no vectorization;11;v1 >= v2;0.08604945
BParser no vectorization;12;not (v1 == v2);0.1190615
BParser no vectorization;13;v1 or v2;0.0339149
BParser no vectorization;14;v1 and v2;0.0341319
BParser no vectorization;15;abs(v1);0.023147099999999997
BParser no vectorization;16;sqrt(v1);0.06215245
BParser no vectorization;17;exp(v1);0.2613295
BParser no vectorization;18;log(v1);0.2094335
BParser no vectorization;19;log10(v1);0.386085
BParser no vectorization;20;sin(v1);0.437901
BParser no vectorization;21;sinh(v1);0.301807
BParser no vectorization;22;asin(v1);0.23429850000000002
BParser no vectorization;23;cos(v1);0.442848
BParser no vectorization;24;cosh(v1);0.28205
BParser no vectorization;25;acos(v1);0.234506
BParser no vectorization;26;tan(v1);1.0168
BParser no vectorization;27;tanh(v1);0.1183745
BParser no vectorization;28;atan(v1);0.404389
BParser no vectorization;29;ceil(v1);0.03305265
BParser no vectorization;30;floor(v1);0.025588100000000003
BParser no vectorization;31;isnan(v1);0.04458445
BParser no vectorization;32;isinf(v1);0.049435
BParser no vectorization;33;sgn(v1);0.03813405
BParser no vectorization;34;atan2(v1, v2);0.8123670000000001
BParser no vectorization;35;v1 ** v2;0.5233085
BParser no vectorization;36;maximum(v1, v2);0.05583315
BParser no vectorization;37;minimum(v1, v2);0.04408355
BParser no vectorization;38;v3 if v1 == v2 else v4;0.146252
BParser no vectorization;39;cv1 + v1 + v2 - v3;0.1022695
BParser no vectorization;40;cs1 - v1 + v2 * v3;0.101521
BParser no vectorization;41;cs1 * v1 / v2;0.07711205
BParser no vectorization;42;cv1 / v1 * v2 / v3;0.121781
BParser no vectorization;43;v1 + v2 + v3 + v4;0.10159499999999999
BParser no vectorization;44;3 * v1 + cs1 * v2 + v3 + 2.5 * v4;0.201758
