Executor;ID;Expression;Time
BParser AVX2;0;-v1;0.0130903
BParser AVX2;1;v1 + v2;0.018592650000000002
BParser AVX2;2;v1 - v2;0.018703900000000002
BParser AVX2;3;v1 * v2;0.01858255
BParser AVX2;4;v1 / v2;0.042997900000000006
BParser AVX2;5;(v1 == v2);0.03000745
BParser AVX2;6;v1 != v2;0.0301405
BParser AVX2;7;v1 < v2;0.0299569
BParser AVX2;8;v1 <= v2;0.02996315
BParser AVX2;9;v1 > v2;0.0300057
BParser AVX2;10;v1 >= v2;0.02990325
BParser AVX2;11;not (v1 == v2);0.0426786
BParser AVX2;12;v1 or v2;0.01839015
BParser AVX2;13;v1 and v2;0.01812865
BParser AVX2;14;abs(v1);0.0132929
BParser AVX2;15;sqrt(v1);0.07495505
BParser AVX2;16;exp(v1);0.21331450000000002
BParser AVX2;17;log(v1);0.203049
BParser AVX2;18;log10(v1);0.208292
BParser AVX2;19;sin(v1);0.260507
BParser AVX2;20;sinh(v1);0.23846
BParser AVX2;21;asin(v1);0.1695225
BParser AVX2;22;cos(v1);0.203376
BParser AVX2;23;cosh(v1);0.2199185
BParser AVX2;24;acos(v1);0.180348
BParser AVX2;25;tan(v1);0.197477
BParser AVX2;26;tanh(v1);0.269341
BParser AVX2;27;atan(v1);0.20060699999999998
BParser AVX2;28;ceil(v1);0.0327066
BParser AVX2;29;floor(v1);0.032578399999999993
BParser AVX2;30;isnan(v1);0.01337975
BParser AVX2;31;isinf(v1);0.020120449999999998
BParser AVX2;32;sgn(v1);0.026338649999999998
BParser AVX2;33;atan2(v1, v2);0.36101150000000004
BParser AVX2;34;maximum(v1, v2);0.0181667
BParser AVX2;35;minimum(v1, v2);0.0181061
BParser AVX2;36;v1 % v2;0.06173365
BParser AVX2;37;v1 ** v2;0.8276795
BParser AVX2;38;v3 if v1 == v2 else v4;0.051399299999999995
BParser AVX2;39;cv1 + v1;0.015564849999999998
BParser AVX2;40;cs1 - v1;0.015536999999999999
BParser AVX2;41;cs1 * v1;0.015523699999999998
BParser AVX2;42;cv1 / v1;0.0427526
BParser AVX2;43;v1 + v2 + v3 + v4;0.04701585
BParser AVX2;44;3 * v1 + cs1 * v2 + v3 + 2.5 * v4;0.091601
BParser AVX512;0;-v1;0.0117493
BParser AVX512;1;v1 + v2;0.0173842
BParser AVX512;2;v1 - v2;0.017447249999999997
BParser AVX512;3;v1 * v2;0.01735465
BParser AVX512;4;v1 / v2;0.0438809
BParser AVX512;5;(v1 == v2);0.0276933
BParser AVX512;6;v1 != v2;0.0277316
BParser AVX512;7;v1 < v2;0.02776685
BParser AVX512;8;v1 <= v2;0.028513
BParser AVX512;9;v1 > v2;0.028336600000000003
