Executor;ID;Expression;Time
BParser AVX2;0;-v1;0.131819
BParser AVX2;1;v1 + v2;0.186182
BParser AVX2;2;v1 - v2;0.185418
BParser AVX2;3;v1 * v2;0.183313
BParser AVX2;4;v1 / v2;0.429516
BParser AVX2;5;v1 % v2;0.612849
BParser AVX2;6;(v1 == v2);0.303838
BParser AVX2;7;v1 != v2;0.30138
BParser AVX2;8;v1 < v2;0.301152
BParser AVX2;9;v1 <= v2;0.304554
BParser AVX2;10;v1 > v2;0.302021
BParser AVX2;11;v1 >= v2;0.303593
BParser AVX2;12;not (v1 == v2);0.420245
BParser AVX2;13;v1 or v2;0.176428
BParser AVX2;14;v1 and v2;0.177461
BParser AVX2;15;abs(v1);0.132392
BParser AVX2;16;sqrt(v1);0.752657
BParser AVX2;17;exp(v1);2.00925
BParser AVX2;18;log(v1);1.99767
BParser AVX2;19;log10(v1);2.09004
BParser AVX2;20;sin(v1);2.60107
BParser AVX2;21;sinh(v1);2.39795
BParser AVX2;22;asin(v1);1.71528
BParser AVX2;23;cos(v1);2.05266
BParser AVX2;24;cosh(v1);2.1767
BParser AVX2;25;acos(v1);1.82989
BParser AVX2;26;tan(v1);1.96593
BParser AVX2;27;tanh(v1);2.70517
BParser AVX2;28;atan(v1);2.01438
BParser AVX2;29;ceil(v1);0.328818
BParser AVX2;30;floor(v1);0.327476
BParser AVX2;31;isnan(v1);0.133231
BParser AVX2;32;isinf(v1);0.200765
BParser AVX2;33;sgn(v1);0.263605
BParser AVX2;34;atan2(v1, v2);3.61986
BParser AVX2;35;v1 ** v2;8.37812
BParser AVX2;36;maximum(v1, v2);0.182401
BParser AVX2;37;minimum(v1, v2);0.180984
BParser AVX2;38;v3 if v1 == v2 else v4;0.520766
BParser AVX2;39;cv1 + v1 + v2 - v3;0.46833
BParser AVX2;40;cs1 - v1 + v2 * v3;0.459959
BParser AVX2;41;cs1 * v1 / v2;0.57286
BParser AVX2;42;cv1 / v1 * v2 / v3;1.00957
BParser AVX2;43;v1 + v2 + v3 + v4;0.471855
BParser AVX2;44;3 * v1 + cs1 * v2 + v3 + 2.5 * v4;0.922289
BParser SSE;0;-v1;0.161041
BParser SSE;1;v1 + v2;0.22341
BParser SSE;2;v1 - v2;0.223308
BParser SSE;3;v1 * v2;0.222509
BParser SSE;4;v1 / v2;0.431865
BParser SSE;5;v1 % v2;0.639496
BParser SSE;6;(v1 == v2);0.417183
BParser SSE;7;v1 != v2;0.412195
BParser SSE;8;v1 < v2;0.412282
BParser SSE;9;v1 <= v2;0.412067
BParser SSE;10;v1 > v2;0.42617
BParser SSE;11;v1 >= v2;0.425676
BParser SSE;12;not (v1 == v2);0.576193
BParser SSE;13;v1 or v2;0.224467
BParser SSE;14;v1 and v2;0.224966
BParser SSE;15;abs(v1);0.162698
BParser SSE;16;sqrt(v1);0.750541
BParser SSE;17;exp(v1);1.86667
BParser SSE;18;log(v1);1.6809
BParser SSE;19;log10(v1);1.72499
BParser SSE;20;sin(v1);2.67328
BParser SSE;21;sinh(v1);2.33576
BParser SSE;22;asin(v1);1.71723
BParser SSE;23;cos(v1);2.67014
BParser SSE;24;cosh(v1);2.06238
BParser SSE;25;acos(v1);1.90357
BParser SSE;26;tan(v1);2.34041
BParser SSE;27;tanh(v1);2.79576
BParser SSE;28;atan(v1);1.89406
BParser SSE;29;ceil(v1);0.352136
BParser SSE;30;floor(v1);0.355288
BParser SSE;31;isnan(v1);0.16371
BParser SSE;32;isinf(v1);0.212968
BParser SSE;33;sgn(v1);0.2348
BParser SSE;34;atan2(v1, v2);3.76331
BParser SSE;35;v1 ** v2;9.6096
BParser SSE;36;maximum(v1, v2);0.223585
BParser SSE;37;minimum(v1, v2);0.225174
BParser SSE;38;v3 if v1 == v2 else v4;0.698928
BParser SSE;39;cv1 + v1 + v2 - v3;0.642817
BParser SSE;40;cs1 - v1 + v2 * v3;0.635008
BParser SSE;41;cs1 * v1 / v2;0.633399
BParser SSE;42;cv1 / v1 * v2 / v3;1.07053
BParser SSE;43;v1 + v2 + v3 + v4;0.644796
BParser SSE;44;3 * v1 + cs1 * v2 + v3 + 2.5 * v4;1.26769
BParser no vectorization;0;-v1;0.246095
BParser no vectorization;1;v1 + v2;0.35414
BParser no vectorization;2;v1 - v2;0.356704
BParser no vectorization;3;v1 * v2;0.355848
BParser no vectorization;4;v1 / v2;0.499819
BParser no vectorization;5;v1 % v2;1.84974
BParser no vectorization;6;(v1 == v2);0.703248
BParser no vectorization;7;v1 != v2;0.700891
BParser no vectorization;8;v1 < v2;0.686249
BParser no vectorization;9;v1 <= v2;0.690566
BParser no vectorization;10;v1 > v2;0.690375
BParser no vectorization;11;v1 >= v2;0.689936
BParser no vectorization;12;not (v1 == v2);0.99324
BParser no vectorization;13;v1 or v2;0.353515
BParser no vectorization;14;v1 and v2;0.355116
BParser no vectorization;15;abs(v1);0.241612
BParser no vectorization;16;sqrt(v1);0.81587
BParser no vectorization;17;exp(v1);2.69709
BParser no vectorization;18;log(v1);2.20314
BParser no vectorization;19;log10(v1);3.75024
BParser no vectorization;20;sin(v1);5.28929
BParser no vectorization;21;sinh(v1);3.56813
BParser no vectorization;22;asin(v1);3.57337
BParser no vectorization;23;cos(v1);5.79163
BParser no vectorization;24;cosh(v1);3.24384
BParser no vectorization;25;acos(v1);3.56624
BParser no vectorization;26;tan(v1);6.85326
BParser no vectorization;27;tanh(v1);1.20316
BParser no vectorization;28;atan(v1);3.15023
BParser no vectorization;29;ceil(v1);0.723014
BParser no vectorization;30;floor(v1);0.723949
BParser no vectorization;31;isnan(v1);0.283723
BParser no vectorization;32;isinf(v1);0.320499
