Executor;ID;Expression;Time
BParser SSE;0;-v1;0.3353
BParser SSE;1;v1 + v2;0.660619
BParser SSE;2;v1 - v2;0.66066
BParser SSE;3;v1 * v2;0.660603
BParser SSE;4;v1 / v2;2.0403
BParser SSE;5;v1 % v2;3.87726
BParser SSE;6;(v1 == v2);1.30837
BParser SSE;7;v1 != v2;1.30865
BParser SSE;8;v1 < v2;1.31281
BParser SSE;9;v1 <= v2;1.30893
BParser SSE;10;v1 > v2;1.30853
BParser SSE;11;v1 >= v2;1.3088
BParser SSE;12;not (v1 == v2);1.7983
BParser SSE;13;v1 or v2;0.658751
BParser SSE;14;v1 and v2;0.659985
BParser SSE;15;abs(v1);0.339482
BParser SSE;16;sqrt(v1);2.86748
BParser SSE;17;exp(v1);6.39762
BParser SSE;18;log(v1);7.23101
BParser SSE;19;log10(v1);7.80022
BParser SSE;20;sin(v1);7.84851
BParser SSE;21;sinh(v1);8.66524
BParser SSE;22;asin(v1);9.96645
BParser SSE;23;cos(v1);7.4999
BParser SSE;24;cosh(v1);8.27364
BParser SSE;25;acos(v1);10.4215
BParser SSE;26;tan(v1);10.1085
BParser SSE;27;tanh(v1);9.91651
BParser SSE;28;atan(v1);9.49111
BParser SSE;29;ceil(v1);1.06521
BParser SSE;30;floor(v1);0.864155
BParser SSE;31;isnan(v1);0.333576
BParser SSE;32;isinf(v1);0.781863
BParser SSE;33;sgn(v1);0.756128
BParser SSE;34;atan2(v1, v2);15.0072
BParser SSE;35;v1 ** v2;26.043
BParser SSE;36;maximum(v1, v2);0.660015
BParser SSE;37;minimum(v1, v2);0.658763
BParser SSE;38;v3 if v1 == v2 else v4;2.23368
BParser SSE;39;cv1 + v1 + v2 - v3;1.95847
BParser SSE;40;cs1 - v1 + v2 * v3;1.98802
BParser SSE;41;cs1 * v1 / v2;2.63288
BParser SSE;42;cv1 / v1 * v2 / v3;4.67308
BParser SSE;43;v1 + v2 + v3 + v4;1.90928
BParser SSE;44;3 * v1 + cs1 * v2 + v3 + 2.5 * v4;3.74828
BParser no vectorization;0;-v1;0.614422
BParser no vectorization;1;v1 + v2;0.725331
BParser no vectorization;2;v1 - v2;0.721631
BParser no vectorization;3;v1 * v2;0.725265
BParser no vectorization;4;v1 / v2;2.03979
BParser no vectorization;5;v1 % v2;3.73007
BParser no vectorization;6;(v1 == v2);1.69982
BParser no vectorization;7;v1 != v2;1.72791
BParser no vectorization;8;v1 < v2;1.55768
BParser no vectorization;9;v1 <= v2;1.55763
BParser no vectorization;10;v1 > v2;1.62072
BParser no vectorization;11;v1 >= v2;1.62068
BParser no vectorization;12;not (v1 == v2);2.36032
BParser no vectorization;13;v1 or v2;0.696366
BParser no vectorization;14;v1 and v2;0.696354
BParser no vectorization;15;abs(v1);0.581247
BParser no vectorization;16;sqrt(v1);2.86632
BParser no vectorization;17;exp(v1);6.6747
BParser no vectorization;18;log(v1);7.02757
BParser no vectorization;19;log10(v1);10.4413
BParser no vectorization;20;sin(v1);15.2037
BParser no vectorization;21;sinh(v1);8.88925
BParser no vectorization;22;asin(v1);6.37759
BParser no vectorization;23;cos(v1);15.5036
BParser no vectorization;24;cosh(v1);8.11921
BParser no vectorization;25;acos(v1);6.14268
BParser no vectorization;26;tan(v1);21.8158
BParser no vectorization;27;tanh(v1);2.2254
BParser no vectorization;28;atan(v1);12.6991
BParser no vectorization;29;ceil(v1);2.29507
BParser no vectorization;30;floor(v1);2.35609
BParser no vectorization;31;isnan(v1);0.813282
BParser no vectorization;32;isinf(v1);0.935838
BParser no vectorization;33;sgn(v1);0.869916
BParser no vectorization;34;atan2(v1, v2);23.6468
BParser no vectorization;35;v1 ** v2;18.1661
BParser no vectorization;36;maximum(v1, v2);0.963539
BParser no vectorization;37;minimum(v1, v2);0.963522
BParser no vectorization;38;v3 if v1 == v2 else v4;3.00084
BParser no vectorization;39;cv1 + v1 + v2 - v3;2.0342
BParser no vectorization;40;cs1 - v1 + v2 * v3;2.16478
BParser no vectorization;41;cs1 * v1 / v2;2.73881
BParser no vectorization;42;cv1 / v1 * v2 / v3;4.66637
BParser no vectorization;43;v1 + v2 + v3 + v4;1.98315
BParser no vectorization;44;3 * v1 + cs1 * v2 + v3 + 2.5 * v4;4.24952
C++;0;-v1;0.433921
C++;1;v1 + v2;0.511123
C++;2;v1 - v2;0.511025
C++;3;v1 * v2;0.511009
C++;4;v1 / v2;2.06108
C++;5;v1 % v2;4.07004
C++;6;(v1 == v2);0.850295
C++;7;v1 != v2;0.95557
C++;8;v1 < v2;0.613595
C++;9;v1 <= v2;0.611999
C++;10;v1 > v2;0.719104
C++;11;v1 >= v2;0.719143
C++;12;not (v1 == v2);0.95551
C++;13;v1 or v2;1.36659
C++;14;v1 and v2;1.36622
C++;15;abs(v1);0.433902
C++;16;sqrt(v1);3.50415
C++;17;exp(v1);7.40518
C++;18;log(v1);7.3805
C++;19;log10(v1);11.238
C++;20;sin(v1);15.6481
C++;21;sinh(v1);9.73502
C++;22;asin(v1);6.88271
C++;23;cos(v1);15.8931
C++;24;cosh(v1);8.81904
C++;25;acos(v1);6.82647
C++;26;tan(v1);22.2178
C++;27;tanh(v1);2.22339
C++;28;atan(v1);12.6135
C++;29;ceil(v1);2.16031
C++;30;floor(v1);2.31245
C++;31;isnan(v1);0.866242
C++;32;isinf(v1);0.93861
C++;33;sgn(v1);0.760785
C++;34;atan2(v1, v2);24.5423
C++;35;v1 ** v2;18.5163
C++;36;maximum(v1, v2);0.712906
C++;37;minimum(v1, v2);0.701856
C++;38;v3 if v1 == v2 else v4;0.865015
C++;39;cv1 + v1 + v2 - v3;0.739343
C++;40;cs1 - v1 + v2 * v3;0.752946
C++;41;cs1 * v1 / v2;2.0326
C++;42;cv1 / v1 * v2 / v3;4.05784
C++;43;v1 + v2 + v3 + v4;0.716599
C++;44;3 * v1 + cs1 * v2 + v3 + 2.5 * v4;1.02192
